Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
57,950.0,Sedan,4.93,1.86,1.48,-118.917526,-0.34358,0.042954,17.252682,17.236769,0.740848,0.60923,-0.058125,Truck,13.465333,3.068987,4.177894,-148.646805,6.120872,0.007729,Car,5.57548,2.385468,1.880301,-144.505341,-1.263458,0.018049,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
58,966.666687,Sedan,4.93,1.86,1.48,-118.641579,-0.331742,0.042876,17.262381,17.246515,0.739917,0.609159,-0.058223,Truck,13.465333,3.068987,4.177894,-148.368713,6.122987,0.007489,Car,5.57548,2.385468,1.880301,-144.241776,-1.258693,0.01811,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
59,983.333313,Sedan,4.93,1.86,1.48,-118.348213,-0.31918,0.042794,17.272404,17.25659,0.738932,0.592624,-0.057929,Truck,13.465333,3.068987,4.177894,-148.090515,6.125038,0.007255,Car,5.57548,2.385468,1.880301,-143.97818,-1.25391,0.018184,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
60,1000.0,Sedan,4.93,1.86,1.48,-118.054764,-0.306633,0.042731,17.27738,17.261608,0.738063,0.29519,-0.051116,Truck,13.465333,3.068987,4.177894,-147.812225,6.127026,0.007028,Car,5.57548,2.385468,1.880301,-143.714554,-1.249104,0.01827,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
61,1016.666687,Sedan,4.93,1.86,1.48,-117.778503,-0.294837,0.042672,17.282064,17.266333,0.737245,0.295281,-0.051152,Truck,13.465333,3.068987,4.177894,-147.533813,6.128951,0.006806,Car,5.57548,2.385468,1.880301,-143.450897,-1.244274,0.01837,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
62,1033.333374,Sedan,4.93,1.86,1.48,-117.484894,-0.282318,0.04261,17.287039,17.271349,0.736374,0.295078,-0.051193,Truck,13.465333,3.068987,4.177894,-147.25528,6.130817,0.006591,Car,5.57548,2.385468,1.880301,-143.18721,-1.239415,0.018482,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
63,1050.0,Sedan,4.93,1.86,1.48,-117.1912,-0.269814,0.042551,17.291723,17.276072,0.735555,0.2778,-0.048213,Truck,13.465333,3.068987,4.177894,-146.976669,6.132624,0.006382,Car,5.57548,2.385468,1.880301,-142.923477,-1.234524,0.018607,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
64,1066.666626,Sedan,4.93,1.86,1.48,-116.914711,-0.258058,0.042492,17.296408,17.280796,0.734735,0.295281,-0.051256,Truck,13.465333,3.068987,4.177894,-146.697937,6.134375,0.006183,Car,5.57548,2.385468,1.880301,-142.659714,-1.229597,0.018745,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
65,1083.333374,Sedan,4.93,1.86,1.48,-116.62085,-0.245582,0.042429,17.301384,17.285812,0.733863,0.295078,-0.051295,Truck,13.465333,3.068987,4.177894,-146.419113,6.136072,0.005992,Car,5.57548,2.385468,1.880301,-142.395889,-1.224632,0.018894,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
66,1100.0,Sedan,4.93,1.86,1.48,-116.326904,-0.233122,0.042366,17.306358,17.290831,0.73299,0.29519,-0.05133,Truck,13.465333,3.068987,4.177894,-146.140182,6.137718,0.005811,Car,5.57548,2.385468,1.880301,-142.132034,-1.219625,0.019054,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
67,1116.666626,Sedan,4.93,1.86,1.48,-116.050179,-0.221407,0.042307,17.311045,17.295553,0.732168,0.295162,-0.051372,Truck,13.465333,3.068987,4.177894,-145.861145,6.139316,0.00564,Car,5.57548,2.385468,1.880301,-141.868118,-1.214574,0.019223,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
68,1133.333374,Sedan,4.93,1.86,1.48,-115.756065,-0.208975,0.042245,17.316017,17.30057,0.731294,0.295078,-0.051404,Truck,13.465333,3.068987,4.177894,-145.582001,6.140867,0.005477,Car,5.57548,2.385468,1.880301,-141.604156,-1.209476,0.019402,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
